date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:53:09	196/196	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2013%20Dec%202024%2022:53:07%20GMT	http://primary/desktop	C:/MalzemenYeter2/MalzemenYeter2/primary/desktop.0.delayed	(from )
01:53:10	58/58	---M--	200	added ('OK')	text/plain	etag:%226234987e-3a%22	https://www.supercook.com/robots.txt		(from )
01:53:10	6809/6809	---MCZ	200	added ('OK')	text/html	etag:W/%2264dce84f-1a99%22	https://www.supercook.com/	C:/MalzemenYeter2/MalzemenYeter2/www.supercook.com/index.html	(from )
01:53:10	7772/7772	---MCZ	200	added ('OK')	text/css	etag:W/%2264a6b001-1e5c%22	https://www.supercook.com/statics/css/normalize.css	C:/MalzemenYeter2/MalzemenYeter2/www.supercook.com/statics/css/normalize.css	(from https://www.supercook.com/)
01:53:11	39212/39212	---MCZ	200	added ('OK')	text/css	etag:W/%2264a6b001-992c%22	https://www.supercook.com/statics/css/webflow.css	C:/MalzemenYeter2/MalzemenYeter2/www.supercook.com/statics/css/webflow.css	(from https://www.supercook.com/)
01:53:11	107575/107575	---MCZ	200	added ('OK')	text/css	etag:W/%2264a6b001-1a437%22	https://www.supercook.com/statics/css/supercook-app.webflow.css	C:/MalzemenYeter2/MalzemenYeter2/www.supercook.com/statics/css/supercook-app.webflow.css	(from https://www.supercook.com/)
01:53:11	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	C:/MalzemenYeter2/MalzemenYeter2/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://www.supercook.com/)
01:53:12	52916/52916	---MC-	200	added ('OK')	text/javascript	date:Tue,%2012%20Dec%202023%2018:09:08%20GMT	https://www.google-analytics.com/analytics.js	C:/MalzemenYeter2/MalzemenYeter2/www.google-analytics.com/analytics.js	(from https://www.supercook.com/)
01:53:12	25713/25713	---MCZ	200	added ('OK')	application/javascript	etag:W/%226471-629138db8de46%22	https://cdn.snigelweb.com/adengine/supercook.com/loader.js	C:/MalzemenYeter2/MalzemenYeter2/cdn.snigelweb.com/adengine/supercook.com/loader.js	(from https://www.supercook.com/)
01:53:13	174570/174570	---MCZ	200	added ('OK')	text/css	etag:W/%2264a6b001-2a9ea%22	https://www.supercook.com/css/app.3e359a2c.css	C:/MalzemenYeter2/MalzemenYeter2/www.supercook.com/css/app.3e359a2c.css	(from https://www.supercook.com/)
01:53:13	38749/38749	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264a6b001-975d%22	https://www.supercook.com/js/app.ba398890.js	C:/MalzemenYeter2/MalzemenYeter2/www.supercook.com/js/app.ba398890.js	(from https://www.supercook.com/)
01:53:13	4100/4100	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264a6b001-1004%22	https://www.supercook.com/js/runtime.ff37a144.js	C:/MalzemenYeter2/MalzemenYeter2/www.supercook.com/js/runtime.ff37a144.js	(from https://www.supercook.com/)
01:53:13	987/987	---M--	200	added ('OK')	text/css	etag:%2264a6b001-3db%22	https://www.supercook.com/css/1144394c.d2f98ac5.css	C:/MalzemenYeter2/MalzemenYeter2/www.supercook.com/css/1144394c.d2f98ac5.css	(from https://www.supercook.com/)
01:53:13	506966/506966	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264a6b001-7bc56%22	https://www.supercook.com/js/vendor.0d9b3bf6.js	C:/MalzemenYeter2/MalzemenYeter2/www.supercook.com/js/vendor.0d9b3bf6.js	(from https://www.supercook.com/)
01:53:14	1955/1955	---MCZ	200	added ('OK')	text/css	etag:W/%2264a6b001-7a3%22	https://www.supercook.com/css/213cde68.c710fb09.css	C:/MalzemenYeter2/MalzemenYeter2/www.supercook.com/css/213cde68.c710fb09.css	(from https://www.supercook.com/)
01:53:14	2010/2010	---MCZ	200	added ('OK')	text/css	etag:W/%2264a6b001-7da%22	https://www.supercook.com/css/28734ebf.dc6d8f8f.css	C:/MalzemenYeter2/MalzemenYeter2/www.supercook.com/css/28734ebf.dc6d8f8f.css	(from https://www.supercook.com/)
01:53:14	1258/1258	---MCZ	200	added ('OK')	text/css	etag:W/%2264a6b001-4ea%22	https://www.supercook.com/css/2891839a.cd08de9b.css	C:/MalzemenYeter2/MalzemenYeter2/www.supercook.com/css/2891839a.cd08de9b.css	(from https://www.supercook.com/)
01:53:14	509/509	---M--	200	added ('OK')	text/css	etag:%2264a6b001-1fd%22	https://www.supercook.com/css/2c77ccd6.495f3507.css	C:/MalzemenYeter2/MalzemenYeter2/www.supercook.com/css/2c77ccd6.495f3507.css	(from https://www.supercook.com/)
01:53:14	399/399	---M--	200	added ('OK')	text/css	etag:%2264a6b001-18f%22	https://www.supercook.com/css/2d0513c6.94433c5d.css	C:/MalzemenYeter2/MalzemenYeter2/www.supercook.com/css/2d0513c6.94433c5d.css	(from https://www.supercook.com/)
01:53:15	670/670	---M--	200	added ('OK')	text/css	etag:%2264a6b001-29e%22	https://www.supercook.com/css/3b6cfe08.2e6d7a51.css	C:/MalzemenYeter2/MalzemenYeter2/www.supercook.com/css/3b6cfe08.2e6d7a51.css	(from https://www.supercook.com/)
01:53:15	261/261	---M--	200	added ('OK')	text/css	etag:%2264a6b001-105%22	https://www.supercook.com/css/40452196.d8107f8d.css	C:/MalzemenYeter2/MalzemenYeter2/www.supercook.com/css/40452196.d8107f8d.css	(from https://www.supercook.com/)
01:53:15	529/529	---M--	200	added ('OK')	text/css	etag:%2264a6b001-211%22	https://www.supercook.com/css/455dfc86.937f0a2c.css	C:/MalzemenYeter2/MalzemenYeter2/www.supercook.com/css/455dfc86.937f0a2c.css	(from https://www.supercook.com/)
01:53:15	191/191	---M--	200	added ('OK')	text/css	etag:%2264a6b001-bf%22	https://www.supercook.com/css/48cdfea2.3e402af0.css	C:/MalzemenYeter2/MalzemenYeter2/www.supercook.com/css/48cdfea2.3e402af0.css	(from https://www.supercook.com/)
01:53:16	128/128	---M--	200	added ('OK')	text/css	etag:%2264a6b001-80%22	https://www.supercook.com/css/4ad7dd3d.79a79c59.css	C:/MalzemenYeter2/MalzemenYeter2/www.supercook.com/css/4ad7dd3d.79a79c59.css	(from https://www.supercook.com/)
01:53:16	1340/1340	---MCZ	200	added ('OK')	text/css	etag:W/%2264a6b001-53c%22	https://www.supercook.com/css/5357e2a0.3ae8303c.css	C:/MalzemenYeter2/MalzemenYeter2/www.supercook.com/css/5357e2a0.3ae8303c.css	(from https://www.supercook.com/)
01:53:16	1101/1101	---MCZ	200	added ('OK')	text/css	etag:W/%2264a6b001-44d%22	https://www.supercook.com/css/5940a7fa.ba543db3.css	C:/MalzemenYeter2/MalzemenYeter2/www.supercook.com/css/5940a7fa.ba543db3.css	(from https://www.supercook.com/)
01:53:16	2430/2430	---MCZ	200	added ('OK')	text/css	etag:W/%2264a6b001-97e%22	https://www.supercook.com/css/5b720d5d.eec69d8b.css	C:/MalzemenYeter2/MalzemenYeter2/www.supercook.com/css/5b720d5d.eec69d8b.css	(from https://www.supercook.com/)
01:53:16	471/471	---M--	200	added ('OK')	text/css	etag:%2264a6b001-1d7%22	https://www.supercook.com/css/5ce7c3ed.70efef9e.css	C:/MalzemenYeter2/MalzemenYeter2/www.supercook.com/css/5ce7c3ed.70efef9e.css	(from https://www.supercook.com/)
01:53:17	2576/2576	---MCZ	200	added ('OK')	text/css	etag:W/%2264a6b001-a10%22	https://www.supercook.com/css/7ea2cedc.50f7146c.css	C:/MalzemenYeter2/MalzemenYeter2/www.supercook.com/css/7ea2cedc.50f7146c.css	(from https://www.supercook.com/)
01:53:17	0/0	---M--	200	added ('OK')	text/css	etag:%2264a6b001-0%22	https://www.supercook.com/css/8286ef34.38bbc864.css	C:/MalzemenYeter2/MalzemenYeter2/www.supercook.com/css/8286ef34.38bbc864.css	(from https://www.supercook.com/)
01:53:17	532/532	---M--	200	added ('OK')	text/css	etag:%2264a6b001-214%22	https://www.supercook.com/css/a07ad8ba.143c409f.css	C:/MalzemenYeter2/MalzemenYeter2/www.supercook.com/css/a07ad8ba.143c409f.css	(from https://www.supercook.com/)
01:53:17	385/385	---M--	200	added ('OK')	text/css	etag:%2264a6b001-181%22	https://www.supercook.com/css/aa1d33de.31b21f9d.css	C:/MalzemenYeter2/MalzemenYeter2/www.supercook.com/css/aa1d33de.31b21f9d.css	(from https://www.supercook.com/)
01:53:18	16438/16438	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264a6b001-4036%22	https://www.supercook.com/js/1144394c.1bfe2899.js	C:/MalzemenYeter2/MalzemenYeter2/www.supercook.com/js/1144394c.1bfe2899.js	(from https://www.supercook.com/)
01:53:18	28709/28709	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264a6b001-7025%22	https://www.supercook.com/js/213cde68.bc58c56e.js	C:/MalzemenYeter2/MalzemenYeter2/www.supercook.com/js/213cde68.bc58c56e.js	(from https://www.supercook.com/)
01:53:18	27245/27245	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264a6b001-6a6d%22	https://www.supercook.com/js/28734ebf.839143bd.js	C:/MalzemenYeter2/MalzemenYeter2/www.supercook.com/js/28734ebf.839143bd.js	(from https://www.supercook.com/)
01:53:18	9554/9554	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264a6b001-2552%22	https://www.supercook.com/js/2891839a.6d33d382.js	C:/MalzemenYeter2/MalzemenYeter2/www.supercook.com/js/2891839a.6d33d382.js	(from https://www.supercook.com/)
01:53:18	7207/7207	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264a6b001-1c27%22	https://www.supercook.com/js/2c77ccd6.3688ebc0.js	C:/MalzemenYeter2/MalzemenYeter2/www.supercook.com/js/2c77ccd6.3688ebc0.js	(from https://www.supercook.com/)
01:53:19	5246/5246	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264a6b001-147e%22	https://www.supercook.com/js/2d0513c6.e49dfb7a.js	C:/MalzemenYeter2/MalzemenYeter2/www.supercook.com/js/2d0513c6.e49dfb7a.js	(from https://www.supercook.com/)
01:53:19	3560/3560	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264a6b001-de8%22	https://www.supercook.com/js/3b6cfe08.17035b64.js	C:/MalzemenYeter2/MalzemenYeter2/www.supercook.com/js/3b6cfe08.17035b64.js	(from https://www.supercook.com/)
01:53:19	7323/7323	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264a6b001-1c9b%22	https://www.supercook.com/js/40452196.6c882576.js	C:/MalzemenYeter2/MalzemenYeter2/www.supercook.com/js/40452196.6c882576.js	(from https://www.supercook.com/)
01:53:19	10688/10688	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264a6b001-29c0%22	https://www.supercook.com/js/455dfc86.66bd1132.js	C:/MalzemenYeter2/MalzemenYeter2/www.supercook.com/js/455dfc86.66bd1132.js	(from https://www.supercook.com/)
01:53:19	2012/2012	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264a6b001-7dc%22	https://www.supercook.com/js/48cdfea2.2cf3558d.js	C:/MalzemenYeter2/MalzemenYeter2/www.supercook.com/js/48cdfea2.2cf3558d.js	(from https://www.supercook.com/)
01:53:20	1521/1521	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264a6b001-5f1%22	https://www.supercook.com/js/4ad7dd3d.2938da05.js	C:/MalzemenYeter2/MalzemenYeter2/www.supercook.com/js/4ad7dd3d.2938da05.js	(from https://www.supercook.com/)
